Zip Code,City,Primary Zone,Zone 1 (%),Zone 2 (%),Zone 3 (%),Zone 4 (%),Total Housing Units,Single-Family Detached,% Single-Family Detached,Other Dwellings,% Other,Median Household Income
75214,Dallas (Lakewood),2,0.0,80.0,20.0,0.0,17058,9509,55.7,7549,44.3,115304.0
75013,Allen,2,0.0,74.0,26.0,0.0,17551,11346,64.6,6205,35.4,149549.0
76137,Fort Worth (North),2,0.0,67.6,32.4,0.0,23435,15410,65.8,8025,34.2,86733.0
76205,Denton,2,0.0,64.9,35.1,0.0,8395,3607,43.0,4788,57.0,60196.0
75035,Frisco,2,0.0,63.8,36.2,0.0,28240,23369,82.8,4871,17.2,154811.0
76226,Argyle,2,0.0,60.7,39.3,0.0,12876,12358,96.0,518,4.0,165428.0
75041,Garland,2,0.0,54.1,45.9,0.0,10388,7301,70.3,3087,29.7,62744.0
75074,Plano,2,0.0,54.0,46.0,0.0,18673,10902,58.4,7771,41.6,78441.0
75033,Frisco,2,0.0,50.3,49.7,0.0,15937,12419,77.9,3518,22.1,165218.0
75082,Richardson,2,0.0,49.8,50.2,0.0,12799,6780,53.0,6019,47.0,108869.0
76117,Haltom City,2,0.0,47.1,52.9,0.0,12475,8320,66.7,4155,33.3,49782.0
76120,Fort Worth (East),2,0.0,46.2,53.8,0.0,8713,4387,50.4,4326,49.6,70129.0
76010,Arlington,2,0.0,43.4,56.6,0.0,20437,8544,41.8,11893,58.2,42571.0
75044,Garland,2,0.0,42.2,57.8,0.0,16936,11434,67.5,5502,32.5,84016.0
75218,Dallas (Casa Linda),2,0.0,39.4,60.6,0.0,10356,7426,71.7,2930,28.3,104026.0
76012,Arlington,2,0.0,35.3,64.7,0.0,11539,7436,64.4,4103,35.6,80972.0
75070,McKinney,2,0.0,28.8,71.2,0.0,23143,13103,56.6,10040,43.4,101188.0
76208,Denton,2,0.0,23.9,76.1,0.0,8877,5384,60.7,3493,39.3,100314.0
75236,Dallas (Southwest),2,0.0,23.4,76.6,0.0,7357,2574,35.0,4783,65.0,45739.0
75068,Little Elm,2,0.0,21.1,78.9,0.0,22408,19874,88.7,2534,11.3,119464.0
76177,Fort Worth (Alliance),2,0.0,20.9,79.1,0.0,9525,5004,52.5,4521,47.5,102719.0
75052,Grand Prairie,2,0.0,20.6,79.4,0.0,32641,23785,72.9,8856,27.1,84055.0
75226,Dallas (Deep Ellum),2,0.0,19.9,80.1,0.0,2910,269,9.2,2641,90.8,67612.0
75203,Unknown,2,0.0,14.9,85.1,0.0,7009,3227,46.0,3782,54.0,43376.0
75228,Dallas (East),2,0.0,5.5,94.5,0.0,27130,14690,54.1,12440,45.9,55848.0
76201,Denton,2,0.0,4.7,95.3,0.0,12852,3759,29.2,9093,70.8,37703.0
76112,Unknown,2,0.0,2.4,97.6,0.0,19175,10182,53.1,8993,46.9,53335.0
75002,Allen,2,0.0,1.0,94.6,4.4,23724,20961,88.4,2763,11.6,119301.0
