Zip Code,City,Primary Zone,Zone 1 (%),Zone 2 (%),Zone 3 (%),Zone 4 (%),Zone 5 (%),Total Service (%),Total Housing Units,SF Detached,% SF Detached,Other Dwellings,% Other,Median Income
76012,Arlington,3,0.0,0.0,49.2,50.8,0.0,100.0,11539,7436,64.4,4103,35.6,80972
76117,Haltom City,3,0.0,0.0,100.0,0.0,0.0,100.0,12475,8320,66.7,4155,33.3,49782
76118,Fort Worth,3,0.0,0.0,100.0,0.0,0.0,100.0,6504,5017,77.1,1487,22.9,89394
76120,Fort Worth,3,0.0,0.0,90.2,9.8,0.0,100.0,8713,4387,50.4,4326,49.6,70129
76137,Fort Worth,3,0.0,0.0,100.0,0.0,0.0,100.0,23435,15410,65.8,8025,34.2,86733
76148,North Richland Hills,3,0.0,0.0,100.0,0.0,0.0,100.0,8358,8218,98.3,140,1.7,88121
76177,Fort Worth,3,0.0,0.0,87.1,12.9,0.0,100.0,9525,5004,52.5,4521,47.5,102719
76180,North Richland Hills,3,0.0,0.0,100.0,0.0,0.0,100.0,15722,7964,50.7,7758,49.3,76416
76182,North Richland Hills,3,0.0,0.0,100.0,0.0,0.0,100.0,11589,10419,89.9,1170,10.1,110669
76201,Denton,3,0.0,0.0,23.9,76.1,0.0,100.0,12852,3759,29.2,9093,70.8,37703
76205,Denton,3,0.0,0.0,89.6,10.4,0.0,100.0,8395,3607,43.0,4788,57.0,60196
76207,Denton,3,0.0,0.0,11.4,88.6,0.0,100.0,6915,4704,68.0,2211,32.0,88152
76208,Denton,3,0.0,0.0,29.7,70.3,0.0,100.0,8877,5384,60.7,3493,39.3,100314
76210,Denton,3,0.0,0.0,100.0,0.0,0.0,100.0,16583,13259,80.0,3324,20.0,102036
76226,Argyle,3,0.0,0.0,89.9,10.1,0.0,100.0,12876,12358,96.0,518,4.0,165428
76244,Keller,3,0.0,0.0,100.0,0.0,0.0,100.0,25625,20417,79.7,5208,20.3,116568
76248,Keller,3,0.0,0.0,100.0,0.0,0.0,100.0,14623,12690,86.8,1933,13.2,161383
75002,Allen,4,0.0,0.0,6.6,92.8,0.5,99.5,23724,20961,88.4,2763,11.6,119301
75032,Rockwall,4,0.0,0.0,0.0,31.5,68.5,31.5,12757,10765,84.4,1992,15.6,132756
75040,Garland,4,0.0,0.0,3.3,96.7,0.0,100.0,21023,16907,80.4,4116,19.6,70592
75043,Garland,4,0.0,0.0,1.9,98.1,0.0,100.0,23276,14905,64.0,8371,36.0,72079
75048,Sachse,4,0.0,0.0,0.0,100.0,0.0,100.0,9918,8731,88.0,1187,12.0,126792
75054,Grand Prairie,4,0.0,0.0,0.0,100.0,0.0,100.0,4941,4538,91.8,403,8.2,154412
75069,McKinney,4,0.0,0.0,0.0,100.0,0.0,100.0,16657,9692,58.2,6965,41.8,74967
75071,McKinney,4,0.0,0.0,0.0,86.6,13.4,86.6,22921,19652,85.7,3269,14.3,124763
75072,McKinney,4,0.0,0.0,0.0,100.0,0.0,100.0,18491,16887,91.3,1604,8.7,147321
75078,Prosper,4,0.0,0.0,0.0,100.0,0.0,100.0,12841,11887,92.6,954,7.4,178254
75087,Rockwall,4,0.0,0.0,0.0,13.5,86.5,13.5,14683,12786,87.1,1897,12.9,124583
75088,Rowlett,4,0.0,0.0,0.0,100.0,0.0,100.0,9822,8437,85.9,1385,14.1,101995
75089,Rowlett,4,0.0,0.0,0.0,100.0,0.0,100.0,11949,10405,87.1,1544,12.9,119332
75098,Wylie,4,0.0,0.0,0.0,58.0,42.0,58.0,21772,18180,83.5,3592,16.5,112198
75104,Cedar Hill,4,0.0,0.0,0.0,86.8,13.2,86.8,16831,13994,83.1,2837,16.9,84760
75115,DeSoto,4,0.0,0.0,0.0,100.0,0.0,100.0,21644,15695,72.5,5949,27.5,81895
75116,Duncanville,4,0.0,0.0,0.0,100.0,0.0,100.0,7349,4814,65.5,2535,34.5,57245
75149,Mesquite,4,0.0,0.0,0.0,100.0,0.0,100.0,20894,16133,77.2,4761,22.8,64858
75150,Mesquite,4,0.0,0.0,0.0,100.0,0.0,100.0,24626,14121,57.3,10505,42.7,66265
75181,Mesquite,4,0.0,0.0,0.0,97.5,2.5,97.5,8255,7574,91.8,681,8.2,107734
75182,Sunnyvale,4,0.0,0.0,0.0,100.0,0.0,100.0,2694,2391,88.8,303,11.2,152632
76001,Arlington,4,0.0,0.0,0.0,100.0,0.0,100.0,11815,10298,87.2,1517,12.8,101311
76002,Arlington,4,0.0,0.0,0.0,100.0,0.0,100.0,9820,9544,97.2,276,2.8,102369
76013,Arlington,4,0.0,0.0,0.0,100.0,0.0,100.0,14211,8015,56.4,6196,43.6,64585
76014,Arlington,4,0.0,0.0,2.3,97.7,0.0,100.0,11263,6639,58.9,4624,41.1,60894
76015,Arlington,4,0.0,0.0,0.0,100.0,0.0,100.0,6969,3656,52.5,3313,47.5,69805
76016,Arlington,4,0.0,0.0,0.0,100.0,0.0,100.0,11491,10550,91.8,941,8.2,103605
76017,Arlington,4,0.0,0.0,0.0,100.0,0.0,100.0,16804,12847,76.5,3957,23.5,89930
76018,Arlington,4,0.0,0.0,0.0,100.0,0.0,100.0,8618,7763,90.1,855,9.9,83815
76052,Haslet,4,0.0,0.0,1.5,98.5,0.0,100.0,9031,8646,95.7,385,4.3,135348
76063,Mansfield,4,0.0,0.0,0.0,80.9,19.1,80.9,26984,20944,77.6,6040,22.4,110303
76209,Denton,4,0.0,0.0,0.0,100.0,0.0,100.0,11419,6991,61.2,4428,38.8,69090
76227,Aubrey,4,0.0,0.0,0.0,89.4,10.6,89.4,18611,16028,86.1,2583,13.9,106113
76247,Justin,4,0.0,0.0,4.3,95.7,0.0,100.0,5846,5059,86.5,787,13.5,107405
